customer_id,recency_days,frequency,monetary,cluster,segment
12346,325.0,12,77556.46,0,Champions
12347,2.0,8,4921.53,4,Loyal
12348,75.0,5,2019.3999999999999,4,Loyal
12349,18.0,4,4428.69,4,Loyal
12350,310.0,1,334.4,1,Lost
12351,375.0,1,300.93,1,Lost
12352,36.0,10,2849.84,4,Loyal
12353,204.0,2,406.76,2,New
12354,232.0,1,1079.4,2,New
12355,214.0,2,947.61,2,New
12356,22.0,6,6371.73,4,Loyal
12357,33.0,3,18287.66,4,Loyal
12358,1.0,5,3887.07,4,Loyal
12359,57.0,10,8873.390000000001,0,Champions
12360,52.0,8,4252.89,4,Loyal
12361,287.0,4,511.25,3,At Risk
12362,3.0,11,5356.2300000000005,0,Champions
12363,109.0,2,552.0,2,New
12364,7.0,4,1313.1,4,Loyal
12365,291.0,2,641.38,3,At Risk
12366,633.0,1,500.24,1,Lost
12367,4.0,1,168.9,2,New
12368,628.0,1,917.6999999999999,1,Lost
12369,413.0,3,1791.15,3,At Risk
12370,51.0,7,4316.5599999999995,4,Loyal
12371,44.0,5,4067.38,4,Loyal
12372,71.0,3,1298.04,4,Loyal
12373,311.0,3,1127.65,3,At Risk
12374,25.0,4,2989.2200000000003,4,Loyal
12375,10.0,2,457.5,2,New
12376,389.0,2,503.15,3,At Risk
12377,315.0,4,3426.32,3,At Risk
12378,129.0,2,5416.32,4,Loyal
12379,81.0,4,1620.22,4,Loyal
12380,21.0,11,9676.300000000001,0,Champions
12381,4.0,5,1845.31,4,Loyal
12383,184.0,5,1850.56,4,Loyal
12384,28.0,2,585.27,2,New
12385,379.0,1,1938.4,3,At Risk
12386,337.0,2,401.9,3,At Risk
12387,415.0,1,143.94,1,Lost
12388,15.0,8,3901.11,4,Loyal
12389,402.0,3,1433.33,3,At Risk
12390,79.0,1,549.84,2,New
12391,21.0,6,2724.84,4,Loyal
12392,591.0,1,234.75000000000003,1,Lost
12393,72.0,6,2399.45,4,Loyal
12394,63.0,2,1272.48,2,New
12395,19.0,15,4721.17,0,Champions
12396,674.0,1,931.43,1,Lost
12397,35.0,2,2409.8999999999996,4,Loyal
12398,45.0,1,1635.66,2,New
12399,119.0,7,1962.3000000000002,4,Loyal
12400,414.0,1,205.25,1,Lost
12401,303.0,1,84.3,1,Lost
12402,323.0,6,1256.8999999999999,3,At Risk
12403,49.0,2,1019.3600000000001,2,New
12404,682.0,1,63.24,1,Lost
12405,148.0,1,1710.39,2,New
12406,22.0,5,6390.360000000001,4,Loyal
12407,49.0,5,1708.12,4,Loyal
12408,32.0,8,4340.7699999999995,4,Loyal
12409,78.0,7,23419.29,0,Champions
12410,308.0,3,1013.71,3,At Risk
12411,409.0,1,346.9,1,Lost
12412,74.0,6,2596.93,4,Loyal
12413,66.0,4,999.45,4,Loyal
12414,217.0,6,952.41,4,Loyal
12415,24.0,28,144458.37,0,Champions
12416,656.0,1,202.56,1,Lost
12417,3.0,20,6797.41,0,Champions
12418,112.0,4,2021.2,4,Loyal
12419,385.0,2,503.01,3,At Risk
12420,63.0,1,600.39,2,New
12421,15.0,6,1098.6,4,Loyal
12422,95.0,17,5231.8,0,Champions
12423,0.0,10,2622.39,4,Loyal
12424,162.0,4,3340.0299999999997,4,Loyal
12425,78.0,2,1741.41,4,Loyal
12426,194.0,2,1345.21,3,At Risk
12427,21.0,3,825.8,2,New
12428,25.0,9,7956.46,0,Champions
12429,9.0,8,6204.41,4,Loyal
12430,43.0,1,256.4,2,New
12431,35.0,27,10432.22,0,Champions
12432,42.0,5,5059.32,4,Loyal
12433,0.0,10,16794.14,0,Champions
12434,84.0,3,1103.43,4,Loyal
12435,79.0,6,13925.93,0,Champions
12436,99.0,1,509.01000000000005,2,New
12437,1.0,39,12683.4,0,Champions
12438,14.0,2,2906.85,4,Loyal
12439,682.0,2,1142.88,3,At Risk
12440,462.0,2,859.2,3,At Risk
12441,366.0,1,173.55,1,Lost
12442,3.0,1,172.06,2,New
12443,732.0,1,485.31,1,Lost
12444,21.0,5,5005.46,4,Loyal
12445,22.0,2,434.98,2,New
12446,57.0,1,1002.3100000000001,2,New
12447,243.0,1,476.49,2,New
12448,44.0,1,449.45,2,New
12449,22.0,6,4835.89,4,Loyal
12450,156.0,5,688.2,4,Loyal
12451,10.0,8,12669.88,0,Champions
12452,16.0,2,430.57,2,New
12453,134.0,1,707.09,2,New
12454,56.0,5,16679.78,4,Loyal
12455,73.0,10,5879.95,0,Champions
12456,44.0,3,3181.04,4,Loyal
12457,66.0,8,2995.91,4,Loyal
12458,71.0,4,1777.49,4,Loyal
12459,605.0,1,454.36,1,Lost
12460,456.0,1,326.65,1,Lost
12461,94.0,2,826.88,2,New
12462,18.0,2,1189.59,2,New
12463,53.0,4,1344.78,4,Loyal
12464,10.0,8,1212.05,4,Loyal
12465,17.0,2,742.19,2,New
12466,682.0,1,56.73,1,Lost
12467,423.0,1,132.8,1,Lost
12468,187.0,5,3670.74,4,Loyal
12469,522.0,2,3070.54,3,At Risk
12470,689.0,1,211.95,1,Lost
12471,2.0,79,39918.19,0,Champions
12472,32.0,19,16249.29,0,Champions
12473,29.0,5,3928.0499999999997,4,Loyal
12474,17.0,31,12372.75,0,Champions
