ds,forecast,lower,upper,actual
2009-12-01,48569.74853833649,34080.526014600815,63610.38884870404,43894.87
2009-12-02,45678.840213443895,29666.76068075489,61325.748026934256,52762.06
2009-12-03,52326.45696925372,37496.949917628015,67198.172684517,67413.62
2009-12-04,42378.8910859018,27420.782414624227,57444.407238772066,33913.81
2009-12-05,16344.622713076193,2099.069546101835,31209.429618167695,9803.05
2009-12-06,32382.99958501016,16753.42761980552,47420.00003335392,24390.1
2009-12-07,41101.04501161254,27273.929023456745,57974.44153332697,33002.49
2009-12-08,44745.33822602285,29009.805926619643,60464.18519925687,44763.34
2009-12-09,40639.68141011175,25063.836775796746,54109.79747447007,30763.170000000002
2009-12-10,46050.03091973491,30016.77465583784,60849.27710491277,38598.21
2009-12-11,34869.50766555476,19394.587319862047,50433.80508998774,39204.17
2009-12-12,7634.429102181286,-7164.329939601707,23656.179083037518,0.0
2009-12-13,22532.285262593396,8362.778132976573,38200.91002114249,21577.35
2009-12-14,30197.820040768533,15425.700418633,46186.21390045345,51245.16
2009-12-15,32904.1814151142,18029.18479428073,48175.1518792484,46836.63
2009-12-16,27999.874872651704,12962.485835450534,41979.913855878396,36927.3
2009-12-17,32773.01725732583,17343.077461288878,48097.61075365002,29758.87
2009-12-18,21135.72491772619,5666.628972193017,35587.46271169584,31562.72
2009-12-19,-6360.403796431547,-22490.293587981872,8828.757459747598,0.0
2009-12-20,8483.226526792663,-6688.153951891574,23634.479216836677,11355.19
2009-12-21,16307.930692626473,1483.4645165375664,31633.10381863096,15549.640000000001
2009-12-22,19388.6470333362,4344.10743087858,33950.67483550394,10696.59
2009-12-23,15070.765457352814,-224.93295150343386,29869.74426646591,9485.67
2009-12-24,20634.38126874276,5509.855338147525,36172.764132454366,0.0
2009-12-25,9978.809890043225,-5894.616934319348,25730.46434189788,0.0
2009-12-26,-16361.6796278867,-31273.022996827523,-153.4362171576581,0.0
2009-12-27,-209.97966839686705,-15110.282306594747,15300.26091084947,0.0
2009-12-28,9050.058238832933,-6129.177375412551,24324.73347474972,0.0
2009-12-29,13665.105712904166,-1308.800084718534,29167.39039259379,0.0
2009-12-30,10949.847386265961,-5177.273817111089,25952.38021587518,0.0
2009-12-31,18151.96329212019,3046.0007506463726,34001.276567705754,0.0
